"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"21",149.639378,152.7625524,160.4968805,186.9942455,213.1677815,215.6475455,228.6408155,240.4961155,251.2830145,254.4631535,267.5608775,294.0699855,321.6184605,333.0781855,345.324609,351.3134522,402.4871705,454.4826455,454.73667291,507.97200685,513.34981685,520.76812085,526.54359585,558.44118185,656.13564985,656.83131885,659.64203385,661.54316785,729.90754185,753.87923485,777.67489685
"22",149.74843,164.437306,167.636063,185.364889,204.155149,207.2846,221.22477,227.474434,234.673693,241.706195,256.35317,291.596788,309.651968,322.795733,342.910802,349.386531,392.7326155,445.3663995,448.5766925,506.4364305,512.5058605,516.1839845,526.9412485,561.8774155,647.18327745,648.75811345,653.32344645,658.03949645,748.29066645,756.09486445,784.74921745
"23",136.00522,148.995196,162.650025,182.490472,200.799391,203.286225,219.459185,227.564329,232.429959,239.111605,253.134153,297.383253,320.016138,324.520247,345.629778,348.816617,383.2587525,435.7236795,439.8509895,488.5187795,503.7744365,511.9825145,521.3648655,557.5140295,647.711919,649.653217,657.952372,663.389622,701.080622,706.738497,752.579302
"24",142.0385925,146.881644,160.614658,185.276273,219.445835,222.167188,229.791252,234.180716,243.5809547,249.6146285,261.2276975,295.5642705,310.7493405,323.6851105,339.9790495,344.3952115,395.518262,441.490403,445.723949,502.248574,511.763884,518.758002,527.881388,559.824989,661.1202648,661.4634425,671.2380945,678.5159045,731.6064745,737.9929925,768.1609965
"25",134.519034,142.65154,144.863148,164.334844,201.419484,205.210073,214.418569,222.645249,239.067215,242.666498,255.364319,295.065719,321.215339,334.326629,363.402369,368.2482795,407.4074095,457.9387215,465.2127795,509.5353945,522.8508745,529.7310265,535.5750955,569.6575845,627.3546075,628.0177075,651.0966395,659.8329595,712.8553405,725.4333875,754.4964705
"26",165.35704,172.338024,182.425637,197.083195,233.028265,238.170025,244.5607,252.29035,256.0042338,258.3615938,270.1165098,304.8742418,319.6943963,327.5467613,355.2942363,362.2084563,408.3295353,446.4249773,452.7323703,492.6649298,505.7909398,519.1210498,530.2185498,576.2729148,636.2412928,637.3218778,649.2612618,655.0885918,715.5115218,727.6927618,749.9047458
"27",140.74978,158.773226,165.598575,184.09345,221.4141,225.816846,228.994749,239.775455,245.596002,252.886573,257.239933,301.82055,321.17089,332.334365,357.829565,368.54563,405.870944,446.94541,452.085749,500.81008155,506.90012555,514.35870555,529.26626555,569.64492055,658.61883555,660.01350355,666.02803355,668.76606355,697.09107555,711.67940555,742.41749655
"28",136.90801,152.531348,159.560195,178.481895,213.687596,216.826943,220.120217,227.659325,233.459513,239.287114,250.4475445,309.3140845,327.0487995,337.8582195,350.3014173,354.2638215,405.6135475,447.1332015,452.3150215,498.4933625,509.6337785,523.8765825,533.1965335,564.6276085,667.9959835,669.5533695,673.5493135,676.9552285,719.6835285,727.33355,746.305817
"29",146.64321,169.75565,180.27861,198.08149,205.3626905,211.2592705,216.3765069,228.3613845,236.9632695,243.9884615,258.5626995,294.272736,318.034376,328.188941,343.737636,356.472237,401.003333,444.663391,449.181031,496.225531,504.097432,508.540346,524.969722,563.729136,654.949579,657.268835,664.954237,668.082754,725.220014,748.125652,777.765594
"30",95.904405,130.140765,139.163175,148.277658,166.245935,175.580498,184.9391,204.202,216.561555,228.16648,249.81032,300.08596,324.429845,328.19001,343.029702,349.72439,416.286757,462.476348,466.799375,504.68407,518.11557,522.20267,529.233951,565.57021,640.447615,646.635585,662.752823,665.940092,715.069965,728.198007,748.1913655
"31",103.671325,141.689115,158.042835,180.20657,189.398016,192.736855,200.252126,222.17736,249.84628,263.90202,281.503996,308.6891635,328.3963835,336.735527,360.377666,373.677372,433.755348,474.237032,476.37515,517.63127,527.64907,532.123792,543.372116,571.5742865,642.4285865,648.4224565,660.2216955,662.6783065,695.3733215,709.6632385,755.8296615
"32",88.00843,128.98604,141.638415,178.715535,188.627384,191.632172,197.599703,218.568505,243.607785,254.782128,262.904255,301.987685,321.60414,333.212525,344.992645,361.280605,423.373768,459.1143725,459.7988115,516.6206905,524.3144905,528.4682245,540.6835115,571.0026705,644.9641095,650.3610495,660.3261815,663.1375995,710.2751745,724.6294235,765.4863145
"33",80.94061,117.44007,128.71022,162.158779,178.61258,186.12554,200.03171,223.17661,249.05293,254.6142877,260.6940647,309.3786377,335.1525727,342.4680327,353.9198207,363.8826977,432.3718577,471.9200797,474.1856967,522.7608062,525.0266192,533.8675112,541.9346802,569.4973302,644.4007472,646.8201622,656.9454788,658.5882087,694.3327307,700.9930147,757.9148177
"34",101.98042,117.755844,123.085054,151.460146,190.692045,199.659355,218.204855,238.147135,248.496485,255.014042,264.533257,291.9696545,315.5972045,321.9034755,344.4592465,362.4258755,417.9518075,452.6720985,458.6961865,526.783403,530.377854,541.323818,550.927072,577.892958,649.033513,650.933322,659.658088,660.8208872,708.342807,713.0873785,751.1646665
"35",85.129585,99.885169,102.88165,134.543154,163.452427,170.913075,198.118985,217.455725,228.02073,237.651315,246.3201116,288.202966,313.340121,322.281846,339.218526,354.138519,394.139242,438.770349,441.452694,506.650623,510.679007,523.161742,537.558522,568.143207,651.623797,654.334517,663.357549,666.151227,699.370097,712.411842,745.367017
"36",72.637373,94.306545,97.783758,144.117435,183.755315,188.68727,206.803775,224.512805,238.339125,254.181869,265.415898,305.91563,322.622496,330.908851,354.530751,367.098035,413.138926,452.326846,456.029281,520.157935,525.865221,531.872751,541.335326,574.238314,649.162223,650.926897,657.955168,661.765309,706.553283,717.279953,748.527482
"37",109.531485,126.928503,130.805476,153.187767,187.760852,192.721345,206.064825,225.245105,234.424198,244.994034,251.917497,311.060745,319.271077,330.055677,348.427323,354.534652,393.216481,456.339452,460.892332,496.714062,502.437582,521.635012,531.600812,576.517692,657.375403,658.118444,662.595482,668.511472,733.759897,746.506637,771.320745
"38",94.039379,111.586561,117.494209,125.735494,157.666699,167.321609,189.323499,219.636079,235.039884,247.372879,262.113235,329.640979,340.918199,348.987049,356.292259,361.063593,432.541569,469.974671,472.979908,514.907741,519.708634,526.343594,541.488444,577.661674,655.346166,658.679114,664.688433,666.176629,725.513894,733.114385,753.832031
"39",118.5687,131.538324,139.90651,155.446949,169.883921,175.486391,190.597541,227.044361,251.514841,260.966784,271.745177,313.841981,321.322091,339.379741,350.5972635,366.6321685,431.5865585,462.6322985,467.6562485,515.718275,520.749981,528.775842,544.495097,574.616217,655.4681185,656.8705265,661.0710855,663.8941315,720.0639815,737.3294585,748.641177
"40",104.64014,116.26762,124.422955,151.390096,180.5196,186.20193,195.95082,224.98924,247.3418,254.488876,270.260539,312.056565,321.629808,337.590373,346.10272,357.595609,415.304523,469.227353,471.516997,517.954714,519.160474,526.944598,532.3743482,557.8706735,650.5903785,653.1569605,661.4535985,668.2007498,702.501405,722.68064,753.857116
"41",102.790193,114.667762,122.837467,148.986852,176.447192,184.135265,197.619317,224.726477,238.235482,245.35804,266.170423,328.395422,342.708847,354.525177,366.629454,375.245007,413.887989,458.846911,462.667262,519.489627,530.253705,531.94661,540.37181,572.098087,635.677018,641.106567,661.108143,664.266314,712.595817,721.923792,758.410928
"42",90.820839,98.205024,107.17635,139.625869,168.288244,177.136511,181.86093,204.548804,221.430294,231.891519,247.740023,301.963994,324.924969,343.399169,352.677889,358.703229,411.8022705,453.137726,454.409687,507.99637,515.241476,523.71887,531.31112,571.09152,651.304293,653.140125,660.099375,667.072867,712.74291,731.994215,764.8635016
