"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"56",-4.8426505,1.2609225,95.719518,100.704951,116.363218,130.346868,132.435145,138.064502,163.195416,165.870524,189.549869,287.55183,290.374883,295.774001,311.259892,332.142851,369.7143745,438.72231,512.8237615,595.095174,628.2788795
"57",-5.10288300000001,4.678754,91.460409,100.918753,110.8917072,121.531302,128.564725,136.750489,162.818506,166.12695,177.772057,275.994592,279.581071,282.322899,311.686371,331.9218355,376.0165605,436.0448725,529.4256645,602.996078,623.6150775
"58",-7.025038,0.695182000000001,96.2207185,106.4167085,114.276175,122.6370995,126.6715125,139.6028395,161.2760595,165.8529885,173.7058745,282.84987155,285.19898155,289.10115355,308.93136305,333.58651705,382.84193805,458.62917455,539.9996312,632.7233332,662.1706402
"59",-6.246028,-1.47173955,95.843496,102.500628,110.028979,121.3879595,123.9713663,134.8418265,151.7567955,158.6665105,175.1759505,271.102074,276.11867,284.102911,310.249803,330.578219,377.4511345,447.1572215,530.952187,605.5085215,629.5295125
"60",-4.8462045,6.76694450000001,96.6326145,102.4897001,113.997752,131.729611,134.337286,141.180309,161.656225,165.856261,174.386641,274.025413,279.823768,282.866549,306.8821475,336.93113691,366.24298935,445.27648485,539.52721485,609.17721135,654.33531635
"61",-6.518273,2.624328,99.6803,104.868451,114.265411,135.988905,140.962017,146.519286,170.3037715,177.3906005,187.2343175,274.573295,275.584271,280.1139414,310.975901,326.553839,369.669833,442.9199535,539.4602755,613.71935,644.7704575
"62",-5.8046315,6.3245805,95.246619,99.857953,110.9664945,122.9352385,129.8645865,134.278751,163.677748,167.993684,178.7999845,266.4298525,268.1663355,275.4135165,318.9233965,336.481053,384.631247,450.59397265,532.60181815,595.75282115,649.95414015
"63",-5.863651,-0.176939,97.851518,101.9633965,115.5726034,126.46032275,134.18855875,137.59040635,158.70617025,160.54282325,171.79914425,275.17743625,278.32542225,282.88366425,315.25964985,334.05026925,376.50338725,433.02273125,515.29442225,588.72998375,660.83440975
"64",-5.847291,-0.829372760000007,100.03221805,104.97126455,112.16133455,115.97541855,120.56073955,129.98733455,154.90780995,160.30944655,172.34396955,279.68918955,283.07097725,288.77226205,317.82165205,328.54946755,364.50260155,455.88161155,526.20479755,601.17578375,633.54276665
"65",-5.88457549999999,-0.0787495000000001,105.7741815,111.5628705,118.2655855,128.7643135,132.3211315,136.8533585,157.6619485,164.6434005,175.2614946,278.3054946,280.7186651,286.7561901,314.9162546,327.5420856,364.20922035,441.12268435,514.75014035,601.26313885,638.38776635
"66",-6.316125,0.840299999999994,107.7643035,112.8219145,118.04882,128.414046,136.853452,140.400895,158.243444,168.632386,175.078322,283.603065,286.232423,289.394238,314.0643615,327.918434,372.406474,441.377989,517.198033,625.9258595,646.102328
"67",-4.39279899999999,-0.287265999999999,91.43869505,97.40670305,106.91666005,125.02205005,129.10234705,138.58078605,156.24631605,158.61995505,171.10908505,280.34058355,283.06337555,287.58594155,313.75673155,329.23302755,375.56953055,447.78636255,501.90528755,599.32771555,625.76497955
"68",-5.89476149999999,-1.0682355,96.181131,105.213943,111.251585,122.7339425,126.6629405,136.0625115,158.665293,162.360633,171.27747,276.5361515,278.668689,286.038392,315.8567695,338.242213,384.380343,466.2094765,525.275517,598.5836165,637.0452765
"69",-5.3929755,-1.8246675,99.9238565,107.4575915,115.5871895,126.0084915,130.1014405,136.5917215,153.9968965,161.1519975,175.5455965,267.065685,271.07752,276.779596,305.726022,332.487927,368.3011645,453.586942,537.6475115,624.9718572,662.6139942
"70",-4.5705425,0.618384499999999,92.347662,103.315902,110.421437,120.013947,122.211597,132.761783,159.083017,166.623335,180.1990035,268.237691,275.3897203,279.3312145,301.303944,324.1681545,353.533709,429.0819425,515.8579365,607.883616,636.888355
"71",-5.1644525,1.92607250000001,98.6786275,106.4410625,109.7057635,120.4489745,123.9402005,135.0685265,155.2982745,158.5364595,173.1938595,270.4408815,275.4400775,279.2419975,300.7476545,340.2418045,384.531815,446.3249955,531.103094,615.648891,643.501813
