"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"2377",-23.113459,49.953529,139.780207,174.8522,192.969456,198.2485,204.448464,210.02816,220.109435,228.648181,237.532493,285.72733,293.832031,306.081424,323.28892,332.907883,358.098164,361.39957,392.512418,429.798625,473.784605,480.755445,482.962625,489.5745585,491.8720075,498.0708085,504.1209175,511.4223525,515.613019,535.805905,539.1533047,577.4121925,588.3749585,600.8391831,614.16932,619.246165,624.430748,633.310915,659.137835,687.094818,697.1145045
"2378",-14.055985,34.76151,98.756814,141.440072,162.026249,164.547915,166.565729,173.008137,180.190292,192.281407,200.762525,255.426917,270.1355865,286.8314265,307.8485265,315.5734515,336.8752265,340.0986805,392.1014415,436.6236765,468.6725215,471.6838605,473.7532855,479.9963515,488.6825775,493.7814705,502.9809865,514.8412765,520.2314065,537.8906065,542.7509555,581.9406625,608.8615915,634.6413765,658.5998765,666.7156515,669.5842135,679.7957125,696.8545765,718.7295385,729.868534
"2379",-12.811982,43.740699,114.75126,154.102205,179.326954,183.23902,192.723487,197.551875,207.60503,225.42346,245.30932,277.279635,285.868275,299.050985,313.9226385,329.6063417,342.8190295,344.5050455,381.8858715,442.2587465,474.0737515,478.9147615,480.5198995,486.7907065,492.2269265,498.7874175,505.3321315,519.3958615,527.5950465,549.0117125,552.7303625,590.0942655,604.5768865,620.3461315,642.1990415,654.6512015,657.7308385,668.4445215,684.874634,716.636925,747.115389
"2380",-20.140634,44.000585,138.115705,190.1131785,210.7277875,215.4185775,219.3654565,223.3340105,228.6447485,235.9435485,246.0174725,271.105852,277.044432,291.017697,327.864357,341.393101,354.6542756,355.822788,385.553135,434.1729276,480.0496995,480.4452777,485.209046,491.265226,498.519658,511.388166,517.234291,521.890566,525.768647,556.7838307,557.6609945,593.9733995,609.7191855,624.8957865,635.6198555,657.8697955,660.1257885,667.7424195,702.7361155,736.7380465,761.1427605
"2381",-20.53349699,26.50058905,118.11088005,179.72645005,203.57265805,211.84822405,216.31370805,222.99376605,226.52055305,232.90881305,238.64768905,265.17108805,277.59626705,290.48264805,315.08455305,328.96435305,336.74104505,343.63229305,384.10952705,419.82903705,457.80874005,461.09103905,466.52248005,476.10610505,486.97112505,502.68475505,509.99025005,514.96442005,519.21348655,538.33086755,541.62886155,573.43175155,588.52666455,610.53832655,617.61897155,639.12768155,643.98635655,669.19642655,709.02988655,740.34450205,770.28426105
"2382",-29.631558,31.958539,114.845282,148.1426229,197.7093565,201.7420335,204.9496365,211.7809565,221.1268965,228.8784765,243.4808265,269.5209965,284.1386215,303.4309265,322.9209565,337.0815665,350.3414925,351.1004965,391.9008915,436.1640165,476.0222765,479.4540941,479.824981,487.770433,490.572749,495.695068,501.253626,520.250506,529.0440335,546.4166655,547.1518905,578.4362745,593.6986185,611.2842295,622.1199335,639.0527595,643.9143055,662.3024195,699.7937095,745.3612265,784.3866095
"2383",-22.288108,27.28427,92.293482,168.697001,200.6167,205.661201,208.715458,214.28445,224.95369,228.0930115,232.9615665,258.3860115,275.7005085,288.5045111,298.0660485,312.9073695,324.6928645,328.5292843,379.9601,416.010066,469.858324,478.032528,481.024874,489.582505,499.425131,506.014404,512.403669,520.364234,529.499724,552.869458,554.78593,591.863719,598.991379,614.696369,633.135109,637.566954,644.292464,666.922769,711.215719,772.173791,827.365772
"2384",-17.674314,29.079415,89.316945,161.64869,174.450556,177.25273,184.80425,193.39611,207.26309,208.686212,218.824792,251.714705,284.129285,303.78401,323.559039,332.39368,341.76212,348.72316,391.187874,431.450097,470.0716195,473.0348245,476.2732625,480.4623645,487.6326235,493.8366945,506.3589175,510.5537801,510.79372415,529.97174015,532.99423415,580.14216415,592.41201815,604.47378915,627.77215915,634.70487415,637.19502615,658.25836415,714.05364115,748.83033015,775.95479315
"2385",-22.302685,29.7836146,113.739379,159.104804,178.137249,182.495033,184.27293,189.666374,194.210674,199.760064,212.298604,266.658884,283.04349,296.067804,310.294284,324.167884,338.61887,343.133834,383.581658,411.3660245,435.1640705,439.8371435,443.4571465,447.4943195,465.4610205,482.7783505,489.9322455,505.0743355,515.6005105,533.0429455,538.5063605,574.1269905,582.4795335,605.9027615,630.0770515,639.2084415,644.2837165,672.1413265,710.4365329,733.083202,758.475449
"2386",-19.151992,30.2365319,115.8042749,151.0053199,166.1110759,168.8747089,171.1867749,179.3281749,185.5426849,199.6566399,223.3499799,277.1816064,282.5382914,298.6275514,322.7683354,330.5773004,346.8085196,350.3095964,378.3833384,432.2781874,462.2255174,467.2261684,471.0715004,481.5728074,502.2794104,507.8498494,519.3745474,526.5407054,531.0005424,542.3413644,544.6369114,576.4987644,591.1754824,611.3108174,643.4884874,650.5520724,653.4575584,663.2845424,714.6550774,756.1794534,790.4440874
"2387",-22.516815,45.505295,116.720835,147.0802415,163.6050955,166.4304395,167.8401215,173.1688775,189.5397375,194.3801375,206.7038575,266.4913575,270.9372645,286.9866925,311.8936915,318.5538125,330.6904325,344.6984325,396.1216925,432.9641775,463.9386175,467.8772325,472.4844945,477.8022325,484.8273025,499.3284585,512.7569975,521.3965335,525.2099675,554.9206485,558.1358225,596.7819855,606.6530685,628.5166515,642.5934265,653.0912265,657.3681535,661.9871275,714.223849,759.322367,783.792774
"2388",-11.501277,34.326495,121.66086,153.341935,169.025691,172.601309,175.653125,183.079277,200.247765,220.661902,226.58219,262.970955,278.48918,304.280685,312.220765,330.69404,351.908375,355.303399,416.435533,464.215335,504.96144,505.9149692,510.777833,513.909276,516.5501121,527.5019505,529.0114625,537.9505715,540.1418625,553.2776885,555.0137925,579.9918876,588.2154715,615.1418895,624.8065625,640.7929825,643.8344065,654.0316075,679.6764785,735.6843185,768.9284225
