depth,coarse
432,0.529802754
433,2.535481963
434,1.152306484
435,1.147463715
436,3.742936944
437,1.634705427
438,1.755809864
439,1.632615328
440,2.7638678
441,1.273117521
442,1.622838639
443,3.913607026
444,1.460012518
445,0.861734975
446,0.888403464
447,1.913546256
448,5.807706558
449,3.161318523
450,1.752576083
451,0.820362457
452,1.397210551
453,1.014155646
454,1.450160547
455,2.166346066
456,2.962706499
457,3.991127452
458,3.368608872
459,3.836856796
460,5.849517833
461,11.01945003
462,6.984852128
463,5.441969381
464,9.527916929
465,10.91958671
466,12.13440756
467,7.976822904
468,15.42227955
469,15.1671381
470,11.81966795
471,15.26080399
472,10.7674144
473,8.046811213
474,9.629668513
475,10.91890268
476,15.60924159
477,14.45990847
478,14.35373746
479,18.70503597
480,16.74429689
481,12.47354925
482,8.537136998
483,9.657843324
484,15.07736142
485,12.44753664
486,4.206886762
487,6.811850423
488,8.925690212
489,6.695249359
490,6.173253707
491,11.38918862
492,10.03475118
493,15.62729393
494,13.07398519
495,12.44793042
496,6.431208862
497,1.009650822
498,1.039724652
499,1.974066851
500,3.081271005
501,0.988059701
502,1.084753844
503,1.410252206
504,1.280957703
505,4.850531094
506,6.408060678
507,1.332453411
508,1.983288513
509,2.00440349
510,2.337211411
511,6.59316971
512,3.064623584
513,2.387884926
514,2.229309272
515,1.874143487
516,3.207772795
517,8.634538153
518,7.259045128
519,1.667061705
520,1.784881426
521,5.106440573
522,1.248031861
523,0.99252246
524,0.864952596
525,0.890746613
526,0.523710159
527,3.47826087
528,8.540989232
529,1.489958735
530,5.476053965
531,0.927166258
532,0.70319225
533,0.755015715
534,1.628512935
535,2.811662299
536,2.225757599
537,21.64312821
538,18.95758908
539,1.454180933
540,1.591773802
541,3.48804622
542,1.371312365
543,1.281238759
544,1.013713927
545,3.069686842
546,0.792636665
547,1.457792703
548,1.535411962
549,1.420755757
550,1.213852196
551,0.805675034
552,0.802603316
553,0.415081787
554,0.57121644
555,1.168908657
556,0.968406787
557,3.024477596
558,5.091308995
559,17.18363943
560,11.79126105
561,4.273726906
562,1.588757442
563,3.219527032
564,12.27467811
565,13.76264763
566,16.37778684
567,16.27125479
568,1.706968244
569,1.529567897
570,1.109571757
571,1.509665961
572,0.927074389
573,1.344360245
574,0.860293227
575,0.955377244
576,1.826083489
577,1.059074342
578,1.608428314
579,0.950709658
580,1.196021654
581,1.031195973
582,0.585736729
583,1.321224686
584,2.770130035
585,2.799260165
586,0.86182169
587,1.040141938
588,0.648432851
589,1.037158848
590,0.263058354
591,0.408884699
592,1.320271821
593,0.964410296
594,1.258606007
595,1.694082461
596,8.482868447
597,15.76224734
598,3.04235463
599,2.347960981
600,2.052863105
601,1.38038133
602,0.733860038
603,5.298928695
604,4.134427283
605,0.673918184
606,0.255864372
607,2.091658657
608,3.901547928
609,1.812593008
610,5.489518046
611,13.3073361
612,9.626923305
613,4.394473166
614,0.951217794
615,1.438763141
616,1.26752548
617,3.775004029
618,1.607316921
619,1.274760383
620,1.291044455
621,0.713895771
622,0.279771317
623,0.440711791
624,1.087296057
625,2.47677521
626,8.050943457
627,8.555524631
628,3.594745223
629,2.206034305
630,1.815567741
631,1.751959428
632,1.813421876
633,1.110153523
634,0.499248622
635,2.55670528
636,1.803764241
637,7.56881371
638,13.5024662
639,16.59042206
640,16.50085834
641,24.60694903
642,46.15799671
643,23.7029318
644,1.038374718
645,5.656175225
646,6.810514077
647,2.56213497
648,2.261138145
649,1.735614816
650,2.354505779
651,1.713090683
652,3.012829035
653,16.0362272
654,16.18014362
655,2.095091322
656,0.872147664
657,4.146945428
658,6.071831995
659,9.543879107
660,10.49624203
661,8.130506392
662,8.631991961
663,5.184533099
664,6.227343345
665,5.379107072
666,5.860192549
667,7.852131293
668,3.745801386
669,6.283526357
670,7.021287405
671,4.528163746
672,4.648968383
673,5.567941628
674,7.929712222
675,9.386623385
676,7.890306981
677,12.82003745
678,15.45078577
679,17.90618654
680,11.42632931
681,1.752596308
682,4.05980217
683,1.326799501
684,0.183340124
685,0.448785639
686,1.039181929
687,4.25217837
688,3.09485239
689,3.1169969
690,1.264961572
691,2.297025956
692,2.941293216
693,1.514344868
694,2.479338843
695,0.966700303
696,0.503449845
697,0.449950987
698,0.558546263
699,0.910354873
700,1.130482911
